Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro IPCA+ com Juros Semestrais;15/05/2035;16/11/2023;122,980671;355830,52;43760276,11
Tesouro IPCA+ com Juros Semestrais;15/05/2045;16/11/2023;122,980671;30789,48;3786510,92
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/05/2024;126,248931;474830,45;59946836,72
Tesouro IPCA+ com Juros Semestrais;15/05/2055;15/05/2024;126,248931;597837,43;75476336,45
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/05/2024;126,248931;30015,07;3789370,50
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/08/2024;127,579121;20673,39;2637492,92
Tesouro IPCA+ com Juros Semestrais;15/08/2026;15/08/2024;127,579121;354894,24;45277095,19
Tesouro IPCA+ com Juros Semestrais;15/08/2030;15/08/2024;127,579121;326179,11;41613644,14
Tesouro IPCA+ com Juros Semestrais;15/08/2032;15/08/2024;127,579121;398324,53;50817893,41
Tesouro IPCA+ com Juros Semestrais;15/08/2040;15/08/2024;127,579121;384556,00;49061316,46
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/08/2024;127,579121;269429,05;34373521,37
